X,Y,Z,formation
308.474909,76.50,79.107143,Quaternary
343.0807871085472,83.0,46.96428571428579,Rhyodacite
372.7429683963993,92.68,24.107142857142932,Dacite_altered
461.02326984834014,103.35,-40.89285714285705,Dacite
463.84823949480227,80.09,73.39285714285721,Quaternary
478.67933013872835,82.36,58.392857142857224,Dacite_altered
511.872723484658,88.70,26.964285714285793,Dacite
61.996307,51.0,85.535714,Quaternary
62.70254969718305,52.80,83.39285714285714,Andesite
112.13951851026992,71.24,35.53571428571429,Rhyolite
124.14563950773386,79.36,25.535714285714278,Qtz_Porphyryie
141.0954573865065,91.0,11.964285714285708,Rhyolite
155.92654803043263,95.0,-1.607142857142776,Qz-rhyolite
