,X,Y,Z,X_c,Y_c,Z_c,surface,series,id,order_series,smooth
0,308.474909,76.5,79.107143,0.25009999999999993,0.46709817047195307,0.6464967833733055,Quaternary,Default series,1,1,2e-06
4,463.8482394948023,80.09,73.39285714285721,0.6320444444092634,0.47592324071446246,0.6324497153858227,Quaternary,Default series,1,1,2e-06
1,343.0807871085472,83.0,46.96428571428579,0.3351694443207929,0.4830767099082514,0.5674820275679064,Rhyodacite,Default series,2,1,2e-06
7,450.0,90.0,80.0,0.5980021919644938,0.5002843677627266,0.6486916373403017,Rhyodacite,Default series,2,1,2e-06
2,372.7429683963993,92.68,24.10714285714293,0.40808611100918907,0.5068724424841542,0.5112937570226815,Dacite_altered,Default series,3,1,2e-06
5,478.6793301387284,82.36,58.39285714285722,0.6685027777534616,0.4815034383329851,0.595576162840519,Dacite_altered,Default series,3,1,2e-06
3,461.02326984834014,103.35,-40.89285714285705,0.6250999999627493,0.533101829528047,0.3515083626596983,Dacite,Default series,4,1,2e-06
6,511.872723484658,88.7,26.964285714285797,0.7500999999999999,0.49708865987546685,0.5183172908408347,Dacite,Default series,4,1,2e-06
